Organization Name,Organization Name URL,Operating Status,Company Type,IPO Status,Estimated Revenue Range,Number of Employees,Headquarters Location,Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Full Description,Industries,Description,Founded Date,Founded Date Precision,Website
O2 Power,https://www.crunchbase.com/organization/o2-power,Active,For Profit,Private,,1-10,"Gurgaon, Haryana, India",Private Equity,500000000,USD,500000000,O2 Power Private Limited is a renewable energy platform that develops and executes renewable energy projects for distribution utilities and C&I customers in India.,"Energy, Environmental Consulting, Renewable Energy",O2 Power is a renewable energy and environment counseling company.,2019-01-01,year,http://www.o2power.in
MakinaRocks,https://www.crunchbase.com/organization/makinarocks,Active,For Profit,Private,$10M to $50M,51-100,"Seoul, Seoul-t'ukpyolsi, South Korea",Series A,11522132,USD,11522132,"Founded in December 2017, MakinaRocks is a startup specializing in industrial machine intelligence solutions. The company develops industrial AI solutions and a machine learning platform. MakinaRocks’s solutions mitigate the challenges of industries sites—optimizing production quality and process efficiency of the automotive, energy, semiconductor, and battery sectors. Built for ML engineers, MakinaRocks’s end-to-end ML platform covers integral machine learning and model development processes, enhancing while simplifying the transition to AI.","Artificial Intelligence, Computer, Information Technology, Machine Learning, Manufacturing, Renewable Energy, Software",MakinaRocks provides machine learning solutions and an MLOps platform to accelerate and scale the industrial sector’s transition to AI.,2017-12-21,day,http://www.makinarocks.ai/
XJet,https://www.crunchbase.com/organization/xjet-2,Active,For Profit,Private,$1M to $10M,101-250,"Rehovot, HaMerkaz, Israel",Venture - Series Unknown,79000000,USD,79000000,"Established in Rehovot, the hub of the Israeli “Silicon Valley”, XJet boasts 50 multidisciplinary R&D specialists and has filed more than 50 registered and pending patents. Originally it developed a solution for the solar industry, and expanded into the additive manufacturing world in 2013. With a decade’s-worth of research behind it, XJet pioneered NanoParticle Jetting™   technology to transform the metal additive manufacturing industry. Bringing a new level of quality to metal manufacturing, XJet’s NanoParticle Jetting™   technology uses solid metal nanoparticles suspended in liquid “ink” in sealed cartridges. An ultra-fine layer of liquid droplets containing stochastic metal and support nanoparticles is deposited onto the system build-tray. This produces metal parts with the same ease and versatility of inkjet printing without compromising throughput.","3D Printing, Advanced Materials, Manufacturing, Printing, Solar",Israeli metal 3D printing company,2005-01-01,year,http://www.xjet3d.com/
Okra Solar,https://www.crunchbase.com/organization/okra-solar,Active,For Profit,Private,,11-50,"Sydney, New South Wales, Australia",Seed,2100000,USD,2100000,"Okra Solar is an IoT technology solution that enables solar generating communities to share and utilize more energy. It is a plug-and-play smart grid technology that enables rapid electrification for last-mile communities. Using mobile payments, modular grid design, and remote monitoring, they provide utility companies with a low-cost, data-driven solution to operate solar networks in hard to reach communities. They are on a mission to connect off-grid communities to the modern economy. Okra Solar was founded in 2016 and is headquartered in Sydney, Australia.","Energy, Internet of Things, Solar",Okra Solar is a technology solution that enables solar generating communities to share and utilize more energy.,2016-01-01,year,https://www.okrasolar.com/
Soluna,https://www.crunchbase.com/organization/soluna,Active,For Profit,Private,,1-10,"New York, New York, United States",Seed,3475000,USD,3475000,"Soluna is a blockchain company powering the blockchain-economy with low-cost renewable energy. they are supporting the next wave of innovations at scale. From cryptocurrency mining to other high-density computations, they are empowering the Blockchain revolution. Soluna plans to vertically integrate best-in-the-world renewable power generation experience and capabilities with blockchain computing facilities. By doing so, Soluna can mine cryptocurrencies more cheaply and with less adverse environmental impact than other companies. Soluna aims to address this problem by building computing centers powered by environmentally clean, utility-scale renewable green energy. Their mission is to power the crypto-economy with clean, low-cost renewable energy. To do this, they are building a blockchain infrastructure and mining company that owns its own renewable energy resources. By developing renewable energy power plants dedicated to on-site, high-density computing, Soluna will add a unique innovation to the blockchain ecosystem: vertical integration. Their energy systems and computing technology will be self-contained, distributed, scalable, and flexible, allowing them to achieve efficiencies only obtainable with utility-scale operations. Through this simple but effective approach, Soluna will be the infrastructure backbone of the blockchain revolution.","Blockchain, Renewable Energy",Soluna is a blockchain company powering the blockchain-economy with low-cost renewable energy.,2017-01-01,year,https://soluna.io/
ACWA Power,https://www.crunchbase.com/organization/acwa-power,Active,For Profit,Private,,1001-5000,"Riyadh, Ar Riyad, Saudi Arabia",Debt Financing,238999200,USD,238999200,"ACWA Power is a developer, investor, co-owner and operator of a portfolio of power generation, renewable energy and desalinated water production plants.","Electrical Distribution, Energy, Renewable Energy","ACWA Power is a developer, investor, co-owner and operator of a portfolio of power generation and renewable energy.",2004-01-01,year,https://www.acwapower.com
LandGate,https://www.crunchbase.com/organization/petrovalues,Active,For Profit,Private,$1M to $10M,11-50,"Denver, Colorado, United States",Series B,12500000,USD,12500000,"LandGate is an open marketplace that provides free listings of property rights assets, appraisals, and free property data. It started its journey by digitizing the valuation and purchase-sale process of mineral properties. LandGate's huge competitive advantage is built on proprietary algorithms and the automation of valuation data tasks while maintaining a personal and interpretive approach to geology and oil and gas production forecasting. It has expanded on that success to offer listings, data, and valuation for all kinds of property rights. LandGate’s living database has more than 30 billion data points for properties. It was founded in 2016 and is headquartered in Denver, Colorado.","E-Commerce Platforms, Information Technology, Marketplace, Mineral, Oil and Gas","LandGate is an open marketplace that provides free listings of property rights assets, appraisals, and free property data.",2016-11-11,day,https://landgate.com
EO Charging,https://www.crunchbase.com/organization/eo-charging,Active,For Profit,Private,$1M to $10M,51-100,"Stowmarket, Suffolk, United Kingdom",Private Equity,13000000,GBP,17121010,,"Electrical Distribution, Product Design, Software","EO Charging designs smart electric vehicle chargers and intelligent software for homes, workplaces and destinations.",2015-01-01,year,https://www.eocharging.com
Electron,https://www.crunchbase.com/organization/electron,Active,For Profit,Private,$1M to $10M,11-50,"London, England, United Kingdom",Grant,6965900,GBP,9036902,"Electron is a London based energy technology company, unlocking value in decarbonising energy systems by enabling granular, market-based interactions, designed by the users themselves. Electron is a market platform as a service, used by network operators, distributed energy resources, and others to trade and optimise the combined use of network capacity and zero carbon, zero marginal cost power.","Blockchain, Clean Energy, Data Integration, Energy, Infrastructure, Renewable Energy, Software","Electron is accelerating the energy industry’s transition to Net Zero by making granular, market-based interactions possible.",2015-11-01,month,http://www.electron.net
Cemvita Factory,https://www.crunchbase.com/organization/cemvita-factory-inc,Active,For Profit,Private,Less than $1M,11-50,"Houston, Texas, United States",Venture - Series Unknown,5000000,USD,5000000,Our CO2 Utilization platform mimics photosynthesis to produce nutrients and pharmaceutics for deep space exploration and industrial chemicals and polymers for energy sustainability.,"Biotechnology, Energy, Life Science, Manufacturing, Mining Technology",CO2 Utilization for Deep Space Exploration and Energy Sustainability,2017-08-08,day,https://www.cemvitafactory.com/
Voltpost,https://www.crunchbase.com/organization/voltpost,Active,For Profit,Private,,1-10,"Brooklyn, New York, United States",Non-equity Assistance,1300000,USD,1300000,"Voltpost is a charging-as-a-service company that transforms lampposts into smart electric vehicle charging stations. The company was founded in 2021 and is based in Brooklyn, NY.","Clean Energy, CleanTech, Electric Vehicle, Power Grid, Smart Cities",Voltpost is a hardware-as-a-service company that transforms lampposts into smart electric vehicle charging stations.,2021-01-01,year,https://www.voltpost.com
Copper Labs,https://www.crunchbase.com/organization/copper-labs,Active,For Profit,Private,Less than $1M,11-50,"Boulder, Colorado, United States",Series A,10450000,USD,10450000,"Copper Labs is on a mission to create a more sustainable energy future by helping utilities take control of energy demand when it matters most to the grid. Copper, the company’s flagship wireless energy monitor, delivers real-time grid-edge intelligence and electric, gas and water usage data, with or without smart meters. These innovative new capabilities empower utilities and ecosystem partners to engage targeted consumers and help manage energy demand, stabilize the grid and reduce the cost to serve energy. For more information, visit copperlabs.com.","Electronics, Energy, Energy Efficiency, Information Technology, Internet of Things, Power Grid, Renewable Energy, Smart Cities, Smart Home, Software",Copper’s patented data solution provides utilities with real-time grid intelligence without the need for extensive (and expensive) overhauls,2016-05-01,day,http://copperlabs.com
Resourcify,https://www.crunchbase.com/organization/resourcify,Active,For Profit,Private,,51-100,"Hamburg, Hamburg, Germany",Venture - Series Unknown,9000000,EUR,10527124,"Resourcify Recycling Platform . An operating system for recycling and waste management. We’re connecting companies and recyclers together to make recycling easy, fast and affordable - with one software for all of your locations, recyclers, containers, and waste streams.","Recycling, Renewable Energy, Software, Waste Management","Resourcify is Europe's leading recycling platform. One software for all of your locations, recyclers, containers, and waste streams.",2016-01-01,year,https://www.resourcify.com
Prisma Photonics,https://www.crunchbase.com/organization/prisma-photonics,Active,For Profit,Private,,11-50,"Tel Aviv, Tel Aviv, Israel",Corporate Round,30000000,USD,30000000,"Prisma photonics helps to keep the most critical large-scale infrastructure running. Introducing the next generation of utility monitoring paving the way to smarter, safe, and efficient operations. We empower our customers and provide them with the best actionable insights on their assets, enabling them to move to a new era of digitalization.  Prisma Photonics was founded in 2017 by a strong team of entrepreneurs, highly experienced in lasers, optical fiber, algorithms, and machine learning. Combining talent from the physics and laser world with algorithmic and machine learning expertise. The company is now in commercial deployment stage.","Cloud Computing, Cloud Infrastructure, Infrastructure, Machine Learning, Oil and Gas, Power Grid, Railroad, Sensor, Smart Cities",Prisma Photonics keep the most critical large-scale infrastructure running with its next-generation optical fiber sensing solutions.,2017-01-01,year,https://www.prismaphotonics.com
Nextron Energia,https://www.crunchbase.com/organization/nextron-energia,Active,For Profit,Private,,1-10,"São Paulo, Sao Paulo, Brazil",Seed,2285000,USD,2285000,Nextron was born to democratize access to renewable energy and encourage investments in distributed renewable energy assets. We're an “energy-as-a-service” clean-tech platform that simplifies access to renewable energy through a seamless digital experience that unlocks value throughout the entire renewable energy supply chain in Brazil.,"Clean Energy, Energy, Renewable Energy",Nextron is an energy-as-a-service clean-tech platform that simplifies access to renewable energy through a seamless digital experience.,2021-01-01,year,https://nextronenergia.com.br/
GridBeyond,https://www.crunchbase.com/organization/endeco,Active,For Profit,Private,$1M to $10M,11-50,"Dublin, Dublin, Ireland",Debt Financing,23800000,EUR,26736696,"Endeco's Energy Management System (EMS) provides wireless energy management and control systems for retail, commercial and industrial users. Applications include building control, refrigeration control, demand management, price response, energy efficiency, and demand response. Our automated wireless systems seamlessly integrate into your existing operations and/or Building Management System (BMS) without any training of retail staff required.","Business Intelligence, Energy, Energy Management, Software, Wireless","GridBeyond provides wireless energy management and control systems for retail, commercial and industrial users.",2007-01-01,year,https://gridbeyond.com/
Bolder Industries,https://www.crunchbase.com/organization/waste-to-energy-partners,Active,For Profit,Private,$10M to $50M,11-50,"Boulder, Colorado, United States",Private Equity,80000000,USD,80000000,"Bolder Industries makes the world’s most sustainable plastic and rubber products possible.  The company is a pioneer in converting end-of-life tires into a desirable carbon black alternative (BolderBlack®), petrochemicals, steel and power with minimal waste.  Its mission is to solve a growing tire-waste problem and increasing demand for sustainably sourced materials simultaneously while reducing greenhouse gas emissions, water consumption, and the use of electricity and creating manufacturing jobs.  The passion for the mission has created a series of technological developments and patents focused on the waste tire problem and its custom compounding lab to help customers accelerate time to market. www.bolderindustries.com.","Clean Energy, Manufacturing, Waste Management",Bolder Industries offers advanced manufacturer or sustainable alternatives to carbon black and performance petrochemicals.,2011-01-01,year,http://bolderindustries.com/
VionX Energy,https://www.crunchbase.com/organization/vionx-energy,Active,For Profit,Private,$10M to $50M,11-50,"Woburn, Massachusetts, United States",Venture - Series Unknown,114170577,USD,114170577,"VionX Energy is an energy company manufacturing power and energy storage products to deliver long run-time and cost-competitive operation. The company's system delivers unrivaled Levelized Cost of Storage at discharge durations greater than 4 hours due to low capital and operating cost and a product life of over 20 years with no performance degradation. It also focuses on renewables integration, EV charging, industrial and commercial micro grinds, and grind applications.  The VIONX VNX product family employs a modular architecture based on 1 MW power and 2 MWh energy building blocks that have been engineered to meet grid reliability standards and have undergone significant durability testing demonstrating up to 40 years of stack life. VionX Energy was founded in 2002 and is headquartered in Woburn, Massachusetts, United States.","Energy, Environmental Engineering, Manufacturing, Renewable Energy",VionX Energy is an energy company manufacturing power and energy storage products to deliver long run-time and cost-competitive operation.,2002-01-01,year,http://vionxenergy.com/
Sempra Infrastructure,https://www.crunchbase.com/organization/sempra-infrastructure,Active,For Profit,Private,,251-500,"San Diego, California, United States",Secondary Market,5155000000,USD,5155000000,"Sempra Infrastructure facilitates the energy transition by leading the responsible development of LNG and net-zero solutions, clean power, and modernized energy networks. We develop, build, operate and invest in the infrastructure critical to meet the world’s energy and climate needs.","Energy, Infrastructure","Sempra develop, build, operate and invest in infrastructure critical to meet the world's energy and climate needs.",1998-01-01,year,https://semprainfrastructure.com
Amarenco,https://www.crunchbase.com/organization/amarenco-2,Active,For Profit,Private,Less than $1M,101-250,"London, England, United Kingdom",Private Equity,165000000,EUR,193514288,"Amarenco is a fast growing, independent Solar PV investment company with a founding executive team that has wide and deep experience in energy and renewables infrastructure.","Energy, Renewable Energy, Solar","Amarenco is a fast growing, independent Solar PV investment company with a founding executive team that has wide and deep experience in",2013-01-01,day,https://en.amarencogroup.com/
MYSUN,https://www.crunchbase.com/organization/mysun,Active,For Profit,Private,Less than $1M,11-50,"Noida, Uttar Pradesh, India",Debt Financing,9012687,USD,9012687,"MYSUN is a leading technology backed rooftop solar solutions and services company. The company offers customised solutions to Commercial & Industrial as well as Residential consumer segments along with in-house financing solutions to provide easy buying options for customers including its SME/ MSME clients. From customised engineering to hyper-local sales and service, MYSUN provides a premium, exhaustive and highly reliable 25 years solar journey to its clients across India.","Energy, Renewable Energy, Solar","Mysun is the India's Largest Online Rooftop Solar Platform; catering to SMEs, MSMEs, Industries and Homeowners.",2015-01-01,year,https://www.itsmysun.com/
EverCharge,https://www.crunchbase.com/organization/evercharge,Active,For Profit,Private,Less than $1M,11-50,"Oakland, California, United States",Venture - Series Unknown,9550000,USD,9550000,"EverCharge enables widespread adoption of electric vehicles through dynamic power allocation. Electrical infrastructure limits EV growth as all buildings quickly exceed their electrical capacity directly preventing the adoption of electric vehicles. EverCharge’s power management technology, SmartPower, increases charging potential up to 10 times while substantially reducing costs enabling scalable charging for urban environments, EV fleets, multi-family buildings, and more.  We make electric vehicle adoption possible.","Clean Energy, Electric Vehicle, Transportation",Evercharge provides electric vehicle charging services to EV owners in multi-unit residences.,2012-01-01,year,http://www.evercharge.net
enmacc,https://www.crunchbase.com/organization/enmacc,Active,For Profit,Private,Less than $1M,51-100,"Munich, Bayern, Germany",Series A,10000000,EUR,11034631,"enmacc is Europe’s fastest growing digital, OTC energy trading platform. Our platform digitalises the end-to-end professional energy trading process. Using enmacc allows participants to gain speed, efficiency and security when trading in energy markets.  More than 410 companies, with over 1.800 active traders, are already taking advantage of enmacc and are utilising our continuously growing network of energy suppliers, industrial companies, energy trading houses and municipal utilities for trading in power & gas.  All of our clients can benefit from increased market access, additional liquidity and other business development opportunities. enmacc customers can use three different trading screens: entender, enmarket and engreen. entender is the largest, independent RFQ platform for standard and non-standard energy products in Europe. enmarket is an independent price screen and open marketplace for bilateral ‘one-click’ trading of standard power & gas products.  engreen is our state-of-the-art trading screen for Guarantees of Origin (GoOs) and allows for process safety and easy access of real- time prices in a complex and partially non-transparent market. We do everything we can to make the daily work of energy traders and portfolio managers easier by enabling them to focus on the things that really matter.","Energy, Information Services, Information Technology, Trading Platform",Professional OTC energy trading for Europe,2016-01-01,year,https://www.enmacc.com
GreenCom Networks AG,https://www.crunchbase.com/organization/greencom-networks-ag,Active,For Profit,Private,$1M to $10M,51-100,"Munich, Bayern, Germany",Venture - Series Unknown,14536856,USD,14536856,"GreenCom Networks is a leading energy IoT company, with offices in Munich, Germany, and Sophia-Antipolis, France. Since 2011, GreenCom has been developing the energy system of the future. Using its Energy Information Brokerage Platform, GreenCom integrates distributed assets like Solar PV, battery storage, electric vehicles and heat pumps. Based on its platform, GreenCom enables white-label end customer services like energy communities, energy flat rates, as well as optimisation and visualisation of energy flows in homes for utilities and manufacturers of energy-relevant devices.","Energy, Internet of Things, Renewable Energy, SaaS, Software","GreenCom Networks is a Software-as-a-Service Company, offering white-label solutions for the utility industry and energy service companies.",2011-01-01,year,http://www.greencom-networks.com
EneCoat Technologies,https://www.crunchbase.com/organization/enecoat-technologies,Active,For Profit,Private,,11-50,"Uji, Kyoto, Japan",Series B,2845401,USD,2845401,EneCoat Technologies is working on materials development for perovskite solar cells and the commercialization of modules.EneCoat Technologies will create the future of energy through thin-film solar cells with the aims of protecting the environment and effectively utilizing natural energy sources.,"Energy, Environmental Consulting, Solar",EneCoat Technologies is working on materials development for perovskite solar cells and the commercialization of modules.,2018-01-11,day,https://www.enecoat.com/en/
Emirates National Oil Company,https://www.crunchbase.com/organization/emirates-national-oil-company,Active,For Profit,Private,$10B+,5001-10000,"Dubai, Dubai, United Arab Emirates",Debt Financing,920000000,USD,920000000,"Emirates National Oil Company (ENOC), a wholly-owned entity of the Dubai Government, is a leading force in the economic diversification and sustainable development of the UAE Established in 1993, ENOC’s primary focus has been to develop downstream and upstream activities in the oil and gas sector. Over the years, ENOC has expanded into several high-growth business sectors to create long-term value for its stakeholders.","Energy, Oil and Gas, Retail",ENOC a wholly-owned entity of the Dubai Government,1993-01-01,year,http://www.enoc.com
WEGoT Utility Solutions,https://www.crunchbase.com/organization/wegot-utility-solutions,Active,For Profit,Private,$10M to $50M,11-50,"Chennai, Tamil Nadu, India",Seed,3455043,USD,3455043,"WEGoT provides tech-enabled solutions to handle the need, consumption and distribution of basic utilities(Water, Electricity and Gas) that have come under tremendous pressure owing to urban development.Responsible urban living entails starting your day with the holy trinity of resources – Water, Electricity and Gas. WEGoT has developed a convenient platform that integrates all 3 resources and helps each household measure, manage and conserve these critical resources from their fingertips.","Collaborative Consumption, Energy, Water",WEGoT Utility Solutions is a Chennai-based cleantech company.,2015-01-01,year,http://www.wegot.in/
Enbala,https://www.crunchbase.com/organization/enbala-power-networks,Active,For Profit,Private,Less than $1M,51-100,"Denver, Colorado, United States",Secondary Market,55896910,USD,55896910,"Enbala provides the advanced technology needed to ensure the operational stability of the world’s power grids by harnessing the power of distributed energy. Enbala’s real-time energy-balancing platform provides a highly flexible approach for creating controllable and dispatchable energy resources from flexible loads, energy storage and renewable energy sources.  The platform underpins Enbala’s award-winning and industry-leading DERMS and VPP technology and dynamically optimizes and dispatches distributed energy resources to respond to the real-time needs of the power system. The platform gives energy retailers and utilities the flexibility to operate in real-time and to better manage the escalating complexities of increasingly variable energy assets and evolving market opportunities.","Clean Energy, CleanTech, Energy, Energy Storage, Renewable Energy",Enbala exists to create an energy future that’s sustainable and balanced. We do that by harnessing the power of distributed energy.,2003-01-01,year,http://enbala.com
RimRock Oil & Gas,https://www.crunchbase.com/organization/rimrock-oil-gas,Active,For Profit,Private,$1M to $10M,11-50,"Greenwood Village, Colorado, United States",Private Equity,500000000,USD,500000000,"RimRock Oil & Gas, LP is an independent oil and gas company focused on the acquisition and development of North American oil and gas assets. Founded in 2016 and currently based in Denver, Colorado, RimRock is a portfolio company of Warburg Pincus. RimRock is led by President and Chief Executive Officer Jim Fraser who brings decades of upstream oil and gas experience across the United States and Canada. James Fraser has a proven track record of creating, building and leading value-added initiatives at leading energy companies including Talisman Energy, where he led the North American shale division, as well as Chesapeake Energy and Burlington Resources, where he served in executive roles focused on the upstream sector.","Energy, Oil and Gas","RimRock Oil & Gas, LP is an independent oil and gas company focused on the acquisition and development of North American oil and gas assets.",2016-01-01,year,http://rimrockoil.com/
XENERGY,https://www.crunchbase.com/organization/xenergy,Active,For Profit,Private,$1M to $10M,51-100,"Rockville, Maryland, United States",Series B,6000000,USD,6000000,"X-energy is delivering the next generation of carbon-free energy by reinventing nuclear power.  X-energy manufactures fuel that seals uranium particles in a protective coating, which makes meltdown impossible and retains the waste inside forever. We also design plants that unlock the fuel’s potential in a process that’s as clean as wind or solar. When combined, the result is reliable carbon-free baseload power, produced more safely and affordable than ever before and available anywhere, at any time.","Clean Energy, CleanTech, Energy, Renewable Energy",X-energy is a nuclear reactor & fuel design engineering company.,2009-01-01,year,https://x-energy.com/
HeyCharge,https://www.crunchbase.com/organization/heycharge,Active,For Profit,Private,Less than $1M,11-50,"Munich, Bayern, Germany",Seed,4848845,USD,4848845,"HeyCharge provides charging infrastructure, payment systems, and installation for electric vehicles. The company was founded in 2020 and is headquartered in Munich, Bavaria.","Electric Vehicle, Energy, Green Building, GreenTech, Transportation","HeyCharge provides charging infrastructure, payment systems, and installation for electric vehicles.",2020-04-01,day,https://heycharge.com/
Noteworthy AI,https://www.crunchbase.com/organization/noteworthy-ai,Active,For Profit,Private,Less than $1M,1-10,"Stamford, Connecticut, United States",Seed,2126200,USD,2126200,Noteworthy provides vehicle-mounted computer vision technology that identifies visual defects in grid assets like utility poles.,"Artificial Intelligence, Internet of Things, Power Grid",Noteworthy provides vehicle-mounted computer vision technology that identifies visual defects in grid assets like utility poles.,2020-08-01,month,https://noteworthy.ai
Lumin,https://www.crunchbase.com/organization/lumin-d9f9,Active,For Profit,Private,,11-50,"Charlottesville, Virginia, United States",Venture - Series Unknown,6427696,USD,6427696,"Lumin is the pioneer and market leader for responsive load control, adding exceptional value to residential microgrids by balancing the needs of energy storage and multiple power sources.","Clean Energy, Energy, Energy Management, Renewable Energy",Lumin is a responsive energy management company.,2016-01-01,year,https://www.luminsmart.com/
Sunverge Energy,https://www.crunchbase.com/organization/sunverge-energy-inc,Active,For Profit,Private,$1M to $10M,11-50,"San Francisco, California, United States",Venture - Series Unknown,75287560,USD,75287560,"Sunverge Energy provides integrated solar solutions for distributed generation and storage. It offers Sunverge Solar Integration System (SIS) Release 1.2 that distributes the generation and storage of renewable energy; and Sunverge SISport load management software that supports strategies for shaping and shifting peak residential load.  Sunverge Energy serves homeowners, small– to medium–sized businesses, utilities, and electricity regulators. Dean Sanders and Kenneth Munson founded it in 2010, with its headquarters in Stockton in California and an additional office in Fortitude Valley in Australia.","Clean Energy, Energy, GreenTech, Renewable Energy, Software, Solar",Sunverge Energy provides integrated solar solutions for distributed generation and storage.,2010-01-01,year,http://sunverge.com/
WaterBridge Resources,https://www.crunchbase.com/organization/waterbridge-resources,Active,For Profit,Private,$10M to $50M,51-100,"Houston, Texas, United States",Private Equity,400000000,USD,400000000,"WaterBridge Resources is a midstream development company focused on developing, acquiring and operating flowback and produced water infrastructure for oil and gas producers, including gathering, pipeline infrastructure, separation, and disposal infrastructure solutions.  WaterBridge was founded by Stephen Johnson and Andy Stephens, in partnership with Five Point Capital Partners.","Energy, Infrastructure, Oil and Gas","A midstream development company focused on developing, acquiring and operating flowback and produced water infrastructure",2015-01-01,year,http://h2obridge.com/
Carbon Upcycling Technologies,https://www.crunchbase.com/organization/carbon-upcycling-technologies,Active,For Profit,Private,Less than $1M,11-50,"Calgary, Alberta, Canada",Venture - Series Unknown,6175000,USD,6175000,"Carbon Upcycling Technologies (“CUT”) uses the waste of today to build a better tomorrow by converting CO2 gas into solid products. CUT sells advanced solid products derived from greenhouse emissions and cheaply available solids. Since 2014, CUT has scaled its ability to convert CO2 emissions into value-add end materials by over a million times and has since been confirmed as one of the top CO2 utilization companies in the world as a winner of the X-Factor Award in the NRG COSIA Carbon XPRIZE. Through its portfolio of CO2-derived solid nanoparticles, CUT has technically validated its solutions for use in concrete, plastics, and consumer products.","Advanced Materials, Clean Energy, CleanTech, Construction, Energy, Manufacturing, Nanotechnology",Carbon Upcycling uses the pollution of today to build the materials of tomorrow.,2014-07-28,day,http://carbonupcycling.com/
Solarcycle,https://www.crunchbase.com/organization/solarcycle-inc,Active,For Profit,Private,,1-10,,Seed,6600000,USD,6600000,"Solarcycle is a solar technology company that builds a circular economy for solar and renewables. Solarcycle was founded in 2022 and is headquartered in Oakland, California.","Energy, Recycling, Renewable Energy, Solar",Solarcycle is a solar technology company that builds a circular economy for solar and renewables.,2022-01-01,day,https://www.solarcycle.us/
HyPoint,https://www.crunchbase.com/organization/bmpower,Active,For Profit,Private,Less than $1M,11-50,"Menlo Park, California, United States",Convertible Note,5290000,USD,5290000,"HyPoint is pioneering zero-emission aviation, aeronautics, and urban air mobility. The company's NASA award-winning hydrogen fuel cell system features an innovative air-cooling and oxygen supply system to offer aircraft makers unprecedented energy performance. The system currently achieves at least 2,000 watts per kilogram of specific power — more than triple the power-to-weight ratio of traditional (liquid-cooled) hydrogen fuel cells systems — and up to 1,500 watt-hours per kilogram of energy density, enabling longer-distance journeys. HyPoint’s lightweight, climate-independent, extended-lifespan system dramatically increases operational time and utilization rate while decreasing total cost of ownership by as much as 50% relative to turbine-powered rotorcraft. The company was founded in Silicon Valley in 2019 and is backed by leading venture capital firms and individual investors. To learn more, please visit hypoint.com.","Aerospace, Air Transportation, Clean Energy, Electric Vehicle, Fuel Cell",HyPoint is a provider of a hydrogen fuel cell system for air transportation market.,2018-01-01,year,http://hypoint.com
BNRG Renewables,https://www.crunchbase.com/organization/bnrg-renewables,Active,For Profit,Private,,11-50,"Dublin, Dublin, Ireland",Venture - Series Unknown,124636598,USD,124636598,"BNRG Renewables is an international Renewable Energy development company. Headquartered in Dublin, Ireland the company has projects under development in seven countries. Specialising in utility-scale solar PV projects, the company’s work covers all aspects of development including: site assessment, obtaining planning and grid connection rights, construction management and long-term asset management. Our expertise is completing projects in a successful manner that makes them suitable investments for institutional and pension funds.","Clean Energy, Energy, Renewable Energy",BNRG Renewables is an international Renewable Energy development company. Based in Dublin.,2007-01-01,year,http://www.bnrg.ie/
Seven Lakes Technologies,https://www.crunchbase.com/organization/seven-lakes-technologies,Active,For Profit,Private,$10M to $50M,51-100,"Westlake Village, California, United States",Series A,20000000,USD,20000000,Seven Lakes Technologies (SLT) is an Enterprise Software Products Company that builds data visualization and data analytics solutions for the digital oilfield.,"Analytics, Big Data, Business Intelligence, Data Integration, Data Visualization, Oil and Gas, Software",Seven Lakes Technologies is an enterprise software company focused on the upstream oil and gas segment,2009-01-01,year,http://www.sevenlakes.com
Hometree,https://www.crunchbase.com/organization/hometree-2,Active,For Profit,Private,$1M to $10M,51-100,"London, England, United Kingdom",Series A,24363341,USD,24363341,"Hometree exists to make home ownership simple & sustainable. Hometree's vision is to be the most trusted provider of peace of mind & sustainability focused home services. Today Hometree brings peace of mind to homeowners and landlords across the UK, protecting them from unexpected repair emergencies and helping them to keep their homes running efficiently. They do this by offering a suite of insurance and maintenance products that provide 24/7 breakdown cover on a range of essential household items such as heating, electrics, and plumbing - all supported by a network of thousands of subcontracted engineers. But this is just the start of a journey which will see the business expand to offer an ecosystem of home & financial services products which empower homeowners to live sustainably & hassle-free.","Energy Efficiency, Home Improvement, Home Services, Insurance, InsurTech, Property Insurance, Smart Home",Hometree exists to make home ownership simple & sustainable,2016-01-01,month,https://www.hometree.co.uk
NAWA Technologies,https://www.crunchbase.com/organization/nawatechnologies,Active,For Profit,Private,$1M to $10M,11-50,"Rousset, Provence-Alpes-Cote d'Azur, France",Series C,42800000,EUR,48293251,"NAWATechnologies vision is to develop technologies that enable highly efficient energy transition, And the key to this is their Ultra Fast Carbon Battery Technology. At NAWATechnologies, they are developing new solutions that improve energy conversion, storage, transport and efficiency by using carbon as the material of choice. Carbon is abundant, accessible and naturally occurring. Minimizing the environmental impact of their manufacturing processes and improving the life cycle end of their products, by re-using, recovering and recycling is at the heart of what they do. Created in April 2013, NAWATechnologies benefits from over 15 years of R&D work on nanomaterials. Today, NAWA Technologies, strengthened by its 24 employees, has its own pilot production line and creates new interface materials and an innovative generation of ultracapacitors and batteries electrodes.","CleanTech, Energy, Nanotechnology","NAWA Technologies is a French SME, has developed an innovative, economically competitive Ultra-Fast Carbon battery, applied nanotechnology.",2013-01-01,year,http://www.nawatechnologies.com/
Interstate Waste Services,https://www.crunchbase.com/organization/interstate-waste-services,Active,For Profit,Private,$100M to $500M,251-500,"Teaneck, New Jersey, United States",Private Equity,145000000,USD,145000000,"Interstate Waste Services is an environmental services company that provides waste management. The company is headquartered in Teaneck, New Jersey, United States.","Consulting, Energy, Legal",Interstate Waste Services is an environmental services company that provides waste management.,1998-01-01,day,http://interstatewaste.com
